value,deviceid,datatype,timestamp
99.5,BSM_G102,Temperature,2023-02-02 13:05:33.025900
100,BSM_G102,Temperature,2023-02-02 13:05:48.028822
97.2,BSM_G102,Temperature,2023-02-02 13:06:03.036152
99.2,BSM_G102,Temperature,2023-02-02 13:06:18.028384
97.8,BSM_G102,Temperature,2023-02-02 13:06:33.027796
97.4,BSM_G102,Temperature,2023-02-02 13:06:48.027762
95.5,BSM_G102,Temperature,2023-02-02 13:07:03.026514
96.8,BSM_G102,Temperature,2023-02-02 13:07:18.029611
95.7,BSM_G102,Temperature,2023-02-02 13:07:33.025860
97.9,BSM_G102,Temperature,2023-02-02 13:07:48.032125
98.3,BSM_G102,Temperature,2023-02-02 13:08:03.030440
96.9,BSM_G102,Temperature,2023-02-02 13:08:18.030666
95.2,BSM_G102,Temperature,2023-02-02 13:08:33.027238
97.6,BSM_G102,Temperature,2023-02-02 13:08:48.030644
96.4,BSM_G102,Temperature,2023-02-02 13:09:03.026454
98.2,BSM_G102,Temperature,2023-02-02 13:09:18.025833
95.8,BSM_G102,Temperature,2023-02-02 13:09:33.027358
97.1,BSM_G102,Temperature,2023-02-02 13:09:48.029108
94.4,BSM_G102,Temperature,2023-02-02 13:10:03.029309
95,BSM_G102,Temperature,2023-02-02 13:10:18.030277
99.9,BSM_G102,Temperature,2023-02-02 13:10:33.029163
97,BSM_G102,Temperature,2023-02-02 13:10:48.819423
98.5,BSM_G102,Temperature,2023-02-02 13:11:03.030979
97.1,BSM_G102,Temperature,2023-02-02 13:11:18.031001
95.1,BSM_G102,Temperature,2023-02-02 13:11:33.026295
99.1,BSM_G102,Temperature,2023-02-02 13:11:48.026735
96.6,BSM_G102,Temperature,2023-02-02 13:12:03.028905
97.4,BSM_G102,Temperature,2023-02-02 13:12:18.029636
94.4,BSM_G102,Temperature,2023-02-02 13:12:33.030978
97.8,BSM_G102,Temperature,2023-02-02 13:12:48.028430
98.1,BSM_G102,Temperature,2023-02-02 13:13:03.025906
97.9,BSM_G102,Temperature,2023-02-02 13:13:18.030960
97.5,BSM_G102,Temperature,2023-02-02 13:13:33.027168
97.4,BSM_G102,Temperature,2023-02-02 13:13:48.026190
99.1,BSM_G102,Temperature,2023-02-02 13:14:03.028214
96.7,BSM_G102,Temperature,2023-02-02 13:14:18.028094
97.2,BSM_G102,Temperature,2023-02-02 13:14:33.029503
97.9,BSM_G102,Temperature,2023-02-02 13:14:48.030959
96.7,BSM_G102,Temperature,2023-02-02 13:15:03.030965
95.4,BSM_G102,Temperature,2023-02-02 13:15:18.030967
95.8,BSM_G102,Temperature,2023-02-02 13:15:33.030958
98.3,BSM_G102,Temperature,2023-02-02 13:15:48.030961
97.1,BSM_G102,Temperature,2023-02-02 13:16:03.027068
96.8,BSM_G102,Temperature,2023-02-02 13:16:18.026187
97,BSM_G102,Temperature,2023-02-02 13:16:33.030938
94.6,BSM_G102,Temperature,2023-02-02 13:16:48.032405
94,BSM_G102,Temperature,2023-02-02 13:17:03.031705
98.4,BSM_G102,Temperature,2023-02-02 13:17:18.029159
98.3,BSM_G102,Temperature,2023-02-02 13:17:33.027702
96.2,BSM_G102,Temperature,2023-02-02 13:17:48.028062
95.4,BSM_G102,Temperature,2023-02-02 13:18:03.030949
99.2,BSM_G102,Temperature,2023-02-02 13:18:18.030934
97.5,BSM_G102,Temperature,2023-02-02 13:18:33.029177
97.6,BSM_G102,Temperature,2023-02-02 13:18:48.030340
95.6,BSM_G102,Temperature,2023-02-02 13:19:03.030584
98.2,BSM_G102,Temperature,2023-02-02 13:19:18.030943
95.2,BSM_G102,Temperature,2023-02-02 13:19:33.026757
97.3,BSM_G102,Temperature,2023-02-02 13:19:48.027822
98.8,BSM_G102,Temperature,2023-02-02 13:20:03.029314
98.8,BSM_G102,Temperature,2023-02-02 13:20:18.025911
98.9,BSM_G102,Temperature,2023-02-02 13:20:34.748863
99.6,BSM_G102,Temperature,2023-02-02 13:20:48.030868
97.8,BSM_G102,Temperature,2023-02-02 13:21:03.030946
96.6,BSM_G102,Temperature,2023-02-02 13:21:22.926474
99.2,BSM_G102,Temperature,2023-02-02 13:21:33.030960
97.9,BSM_G102,Temperature,2023-02-02 13:21:48.030914
94.9,BSM_G102,Temperature,2023-02-02 13:22:03.027035
96.1,BSM_G102,Temperature,2023-02-02 13:22:18.026910
96.4,BSM_G102,Temperature,2023-02-02 13:22:33.029715
95,BSM_G102,Temperature,2023-02-02 13:35:59.839589
95.3,BSM_G102,Temperature,2023-02-02 13:36:16.768183
97.5,BSM_G102,Temperature,2023-02-02 13:36:29.844076
99.2,BSM_G102,Temperature,2023-02-02 13:36:44.840366
97.1,BSM_G102,Temperature,2023-02-02 13:36:59.840422
97.8,BSM_G102,Temperature,2023-02-02 13:37:14.841306
96.2,BSM_G102,Temperature,2023-02-02 13:37:29.839565
93.1,BSM_G102,Temperature,2023-02-02 13:37:44.841896
98.6,BSM_G102,Temperature,2023-02-02 13:37:59.843372
98.7,BSM_G102,Temperature,2023-02-02 13:38:14.844144
98.8,BSM_G102,Temperature,2023-02-02 13:38:29.844576
99.9,BSM_G102,Temperature,2023-02-02 13:38:44.842511
98.5,BSM_G102,Temperature,2023-02-02 13:38:59.844602
98.5,BSM_G102,Temperature,2023-02-02 13:39:14.844706
95.1,BSM_G102,Temperature,2023-02-02 13:39:29.844715
95.4,BSM_G102,Temperature,2023-02-02 13:39:44.839559
98,BSM_G102,Temperature,2023-02-02 13:39:59.844735
97.3,BSM_G102,Temperature,2023-02-02 13:40:14.840551
99.7,BSM_G102,Temperature,2023-02-02 13:40:29.841984
95.5,BSM_G102,Temperature,2023-02-02 13:40:44.841326
98.7,BSM_G102,Temperature,2023-02-02 13:41:14.360806
98.5,BSM_G102,Temperature,2023-02-02 13:42:15.137798
97.3,BSM_G102,Temperature,2023-02-02 13:42:30.142804
94.5,BSM_G102,Temperature,2023-02-02 13:42:45.143747
98.3,BSM_G102,Temperature,2023-02-02 13:43:00.139527
95.5,BSM_G102,Temperature,2023-02-02 13:43:15.142854
95.6,BSM_G102,Temperature,2023-02-02 13:43:30.142871
95.3,BSM_G102,Temperature,2023-02-02 13:43:45.138424
95.8,BSM_G102,Temperature,2023-02-02 13:44:00.142866
96.9,BSM_G102,Temperature,2023-02-02 13:44:15.142872
100.2,BSM_G102,Temperature,2023-02-02 13:44:30.141198
94.3,BSM_G102,Temperature,2023-02-02 13:44:45.142876
95.4,BSM_G102,Temperature,2023-02-02 13:45:00.138671
